Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3297830,"Οι δύο πύργοι (Ο άρχοντας των δαχτυλιδιών, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",Ευγενία Χατζηθανάση-Κόλλια,"=""""","=""""",0,Κέδρος,Paperback,493,1995,1954,,2026/04/28,currently-reading,currently-reading (#1),currently-reading,,,,1,0
71730,Nonviolent Communication: A Language of Life,Marshall B. Rosenberg,"Rosenberg, Marshall B.",Arun Gandhi,"=""1892005034""","=""9781892005038""",0,Puddledancer Press,Paperback,220,2003,1999,,2026/04/25,to-read,to-read (#459),to-read,,,,0,0
216650452,Στόμα γεμάτο χώμα,Branimir Šćepanović,"Šćepanović, Branimir",Ισμήνη Ραντούλοβιτς,"=""6188663059""","=""9786188663053""",5,Εκδόσεις Κυψέλη,Paperback,96,2024,1974,2026/04/24,2025/07/27,,,read,,,,1,0
12694570,Ο μεγάλος θανατικός,Γιάννης Ξανθούλης,"Ξανθούλης, Γιάννης",,"=""9600323968""","=""9789600323962""",3,Εκδόσεις Καστανιώτη,Paperback,160,1982,1982,2026/04/22,2026/04/20,,,read,,,,1,0
6473687,Η μητέρα του σκύλου,Pavlos Matesis,"Matesis, Pavlos",Παύλος Μάτεσις,"=""9600304823""","=""9789600304824""",0,Εκδόσεις Καστανιώτη,Paperback,256,1999,1990,,2026/04/20,to-read,to-read (#458),to-read,,,,0,0
40715708,Να τελειώνουμε με τον Εντύ Μπελγκέλ,Édouard Louis,"Louis, Édouard",Μιχάλης Αρβανίτης,"=""6185267160""","=""9786185267162""",3,Εκδόσεις Αντίποδες,Paperback,191,2018,2014,2026/04/20,2026/02/21,looking-for,looking-for (#24),read,"More like 3,5 stars. It was not a bad book. If this is not an autobiography, but aims at shocking the reader about how class inequality leads to bad education leads to people living a nightmare (things that by all means i believe should be mentioned and pinpointed) by telling a fictional story, then i believe there are books that do this better. The distance Louis uses in his narrations that i usually love, along with the fact that I am familiar with life in the Greek countryside, made the book feel kind of flat. <br/>Worth the read though.",,,1,0
16028427,Ο αφρός των ημερών,Boris Vian,"Vian, Boris",Ρένα Χατχούτ,"=""9603291439""","=""9789603291435""",0,Γράμματα,Paperback,200,1979,1947,,2026/04/20,to-read,to-read (#457),to-read,,,,0,0
234568081,Η άλωση των Αθηνών από τις αδερφές Γαργάρα,Γιάννης Ξανθούλης,"Ξανθούλης, Γιάννης",,"=""6182209437""","=""9786182209431""",0,Διόπτρα,Paperback,472,2025,2025,,2026/04/20,to-read,to-read (#456),to-read,,,,0,0
12563515,Οι Μπούντενμπροκ,Thomas Mann,"Mann, Thomas","Toula Sieti, Τούλα Σιετή","=""9602104708""","=""9789602104705""",0,Εκδόσεις Οδυσσέας,Hardcover,784,2004,1901,,2024/08/17,"to-read, looking-for","to-read (#279), looking-for (#31)",to-read,,,,0,0
18304618,Νέα από τον παράδεισο,David Lodge,"Lodge, David",Γιώργος Μπαρουξής,"=""9606204146""","=""9789606204142""",0,Bell / Χαρλένικ Ελλάς,Paperback,440,2002,1991,,2026/04/12,"to-read, looking-for","to-read (#451), looking-for (#30)",to-read,,,,0,0
13002951,Λος Άντζελες εμπιστευτικό,James Ellroy,"Ellroy, James",Ανδρέας Αποστολίδης,"=""9603252549""","=""9789603252542""",5,Εκδόσεις Άγρα,Paperback,593,1998,1990,2026/04/17,2024/11/09,,,read,,,,1,0
11422041,Ελληνική μυθολογία,Nikos Tsiforos,"Tsiforos, Nikos",Νίκος Τσιφόρος,"=""9979742240""","=""9789979742241""",0,Ερμής,Paperback,642,1997,1964,,2026/04/15,to-read,to-read (#455),to-read,,,,0,0
21852517,Τα παιδιά της πιάτσας: Ά Μέρος,Νίκος Τσιφόρος,"Τσιφόρος, Νίκος",Nikos Tsiforos,"=""9604694499""","=""9789604694495""",0,Δημοσιογραφικός Οργανισμός Λαμπράκη,Paperback,,2009,2009,,2026/04/15,to-read,to-read (#454),to-read,,,,0,0
27503555,Την Κυριακή έχουμε γάμο,Γιάννης Ξανθούλης,"Ξανθούλης, Γιάννης",,"=""9603649341""","=""9789603649342""",0,Διόπτρα,Paperback,376,2015,2015,,2026/04/15,to-read,to-read (#453),to-read,,,,0,0
25934656,Πάντα καλά,Pavlos Matesis,"Matesis, Pavlos",Παύλος Μάτεσις,"=""9600320985""","=""9789600320985""",0,Καστανιώτη,Paperback,386,2010,1998,,2026/04/15,to-read,to-read (#452),to-read,,,,0,0
11550551,Ο μάγος,John Fowles,"Fowles, John",Φαίδων Ταμβακάκης,"=""9600507473""","=""9789600507478""",4,Βιβλιοπωλείον της Εστίας,Paperback,775,2008,1965,2026/04/01,2024/08/11,,,read,,,,1,0
236079985,Η λευκή σκέψη,Lilian Thuram,"Thuram, Lilian","Άγγελος Μουταφίδης, Κώστας Σπαθαράκης","=""6185926032""","=""9786185926038""",0,Αντίποδες,Paperback,296,2025,,,2026/03/17,to-read,to-read (#450),to-read,,,,0,0
199052728,Καιρός για πόλεμο,Patrick Raynal,"Raynal, Patrick",Μαριάννα Μαντά,"=""9604358456""","=""9789604358458""",3,Εκδόσεις Πόλις,Paperback,248,2023,2021,2026/03/11,2024/09/09,,,read,,,,1,0
217142680,L'Effondrement,Édouard Louis,"Louis, Édouard",,"=""2021434540""","=""9782021434545""",0,Seuil,Kindle Edition,213,2024,2024,,2026/03/07,"to-read, looking-for","to-read (#449), looking-for (#29)",to-read,,,,0,0
219964792,Η Μονίκ δραπετεύει,Édouard Louis,"Louis, Édouard","Κώστας Σπαθαράκης, Εύα Πλιάκου, Μάρω Κατσίκα, Στέλα Ζουμπουλάκη","=""6185267918""","=""9786185267919""",0,Αντίποδες,Paperback,144,2024,2024,,2026/03/07,"to-read, looking-for","to-read (#448), looking-for (#28)",to-read,,,,0,0
52395003,Ιστορία της βίας,Édouard Louis,"Louis, Édouard",Στέλα Ζουμπουλάκη,"=""6185267268""","=""9786185267261""",0,Εκδόσεις Αντίποδες,Paperback,212,2019,2016,,2026/03/07,"to-read, looking-for","to-read (#447), looking-for (#27)",to-read,,,,0,0
59511315,Αγώνες και μεταμορφώσεις μιας γυναίκας,Édouard Louis,"Louis, Édouard",Στέλα Ζουμπουλάκη,"=""6185267500""","=""9786185267506""",0,Εκδόσεις Αντίποδες,Paperback,112,2021,2021,,2026/02/21,"to-read, looking-for","to-read (#432), looking-for (#26)",to-read,,,,0,0
62804573,Αλλαγή: μέθοδος,Édouard Louis,"Louis, Édouard","Στέλα Ζουμπουλάκη, Εύα Πλιάκου","=""6185267632""","=""9786185267636""",0,Αντίποδες,Paperback,288,2022,2021,,2026/02/21,"to-read, looking-for","to-read (#433), looking-for (#25)",to-read,,,,0,0
11318,"Trouble Is My Business (Philip Marlowe, #8)",Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",0,Vintage Crime/Black Lizard,Paperback,224,1992,1950,,2026/03/07,"to-read, looking-for","to-read (#446), looking-for (#23)",to-read,,,,0,0
153590,"Playback (Philip Marlowe, #7)",Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",0,Vintage Crime/Black Lizard,Paperback,166,1988,1958,,2026/03/07,"to-read, looking-for","to-read (#445), looking-for (#22)",to-read,,,,0,0
